client_id,sessions-sum-client_id,sessions-count_not_na-client_id,sessions-max-client_id,sessions-count_nonzero-client_id,sessions-mean-client_id,sessions-sum_per_lead-client_id,sessions-count_not_na_per_lead-client_id,sessions-count_nonzero_per_lead-client_id,hits-sum-client_id,hits-count_not_na-client_id,hits-max-client_id,hits-count_nonzero-client_id,hits-mean-client_id,hits-sum_per_lead-client_id,hits-count_not_na_per_lead-client_id,hits-count_nonzero_per_lead-client_id,unique_events-sum-client_id,unique_events-count_not_na-client_id,unique_events-max-client_id,unique_events-count_nonzero-client_id,unique_events-mean-client_id,unique_events-sum_per_lead-client_id,unique_events-count_not_na_per_lead-client_id,unique_events-count_nonzero_per_lead-client_id,session_duration-sum-client_id,session_duration-count_not_na-client_id,session_duration-max-client_id,session_duration-count_nonzero-client_id,session_duration-mean-client_id,session_duration-sum_per_lead-client_id,session_duration-count_not_na_per_lead-client_id,session_duration-count_nonzero_per_lead-client_id,page_per_session-sum-client_id,page_per_session-count_not_na-client_id,page_per_session-max-client_id,page_per_session-count_nonzero-client_id,page_per_session-mean-client_id,page_per_session-sum_per_lead-client_id,page_per_session-count_not_na_per_lead-client_id,page_per_session-count_nonzero_per_lead-client_id,enquiries-sum-client_id,enquiries-count_not_na-client_id,enquiries-max-client_id,enquiries-count_nonzero-client_id,enquiries-mean-client_id,enquiries-sum_per_lead-client_id,enquiries-count_not_na_per_lead-client_id,enquiries-count_nonzero_per_lead-client_id,pageviews-sum-client_id,pageviews-count_not_na-client_id,pageviews-max-client_id,pageviews-count_nonzero-client_id,pageviews-mean-client_id,pageviews-sum_per_lead-client_id,pageviews-count_not_na_per_lead-client_id,pageviews-count_nonzero_per_lead-client_id,time_on_page-sum-client_id,time_on_page-count_not_na-client_id,time_on_page-max-client_id,time_on_page-count_nonzero-client_id,time_on_page-mean-client_id,time_on_page-sum_per_lead-client_id,time_on_page-count_not_na_per_lead-client_id,time_on_page-count_nonzero_per_lead-client_id,avg_time_on_page-sum-client_id,avg_time_on_page-count_not_na-client_id,avg_time_on_page-max-client_id,avg_time_on_page-count_nonzero-client_id,avg_time_on_page-mean-client_id,avg_time_on_page-sum_per_lead-client_id,avg_time_on_page-count_not_na_per_lead-client_id,avg_time_on_page-count_nonzero_per_lead-client_id,property_search-sum-client_id,property_search-count_not_na-client_id,property_search-max-client_id,property_search-count_nonzero-client_id,property_search-mean-client_id,property_search-sum_per_lead-client_id,property_search-count_not_na_per_lead-client_id,property_search-count_nonzero_per_lead-client_id,lead_dropped-sum-client_id,lead_dropped-count_not_na-client_id,lead_dropped-max-client_id,lead_dropped-count_nonzero-client_id,lead_dropped-mean-client_id,lead_dropped-sum_per_lead-client_id,lead_dropped-count_not_na_per_lead-client_id,lead_dropped-count_nonzero_per_lead-client_id,bounce_rate-sum-client_id,bounce_rate-count_not_na-client_id,bounce_rate-max-client_id,bounce_rate-count_nonzero-client_id,bounce_rate-mean-client_id,bounce_rate-sum_per_lead-client_id,bounce_rate-count_not_na_per_lead-client_id,bounce_rate-count_nonzero_per_lead-client_id,total_events-sum-client_id,total_events-count_not_na-client_id,total_events-max-client_id,total_events-count_nonzero-client_id,total_events-mean-client_id,total_events-sum_per_lead-client_id,total_events-count_not_na_per_lead-client_id,total_events-count_nonzero_per_lead-client_id,timestamp-gap-client_id,social_source_referral-value-client_id,contact_us_click-value-client_id,app_downloads-value-client_id,source-mode-client_id,source-search-count-client_id,source-leasing_website-count-client_id,source-chat_media-count-client_id,source-client-count-client_id,source-direct-count-client_id,source-google-count-client_id,source-email-count-client_id,device_category-count_mobile-client_id,device_category-count_tablet-client_id,event_category-count_Property View-client_id,event_category-count_Client ID-client_id,event_category-count_Property Search-client_id,event_category-count_Scroll Depth-client_id,event_category-count_Property Search Field-client_id,event_category-count_Image View-client_id,event_category-count_Property Form Field-client_id,event_category-count_Property Lead Form-client_id,event_category-count_Inventory Residential Lead-client_id,event_category-count_App Download-client_id,event_category-count_Property Residential Lead-client_id,event_category-count_addthis-client_id,event_category-count_Contact Us-client_id,event_category-count_Promo-client_id,event_category-count_Property Commercial Lead-client_id,event_category-count_Inventory Commercial Lead-client_id,event_category-count_Property Freehold Lead-client_id,event_category-count_Happiness Survey Form-client_id,event_category-count_Outbound links-client_id,event_category-count_Download Form-client_id
690342000000000.0,3,25,1,3,0.12,1.0,8.333333333333334,1.0,35.0,5,13.0,5,7.0,11.666666666666666,1.6666666666666667,1.6666666666666667,31,25,4,21,1.24,10.333333333333334,8.333333333333334,7.0,323.0,5,171.0,2,64.6,107.66666666666667,1.6666666666666667,0.6666666666666666,2.0,5,1.0,2,0.4,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.0,5,0.0,0,0.0,0.0,1.6666666666666667,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,3,25,1,3,0.12,1.0,8.333333333333334,1.0,0.0,5,0.0,0,0.0,0.0,1.6666666666666667,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,direct,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
2817580000000000.0,1,11,1,1,0.09090909090909091,inf,inf,inf,15.0,3,11.0,3,5.0,inf,inf,inf,10,11,2,8,0.9090909090909091,inf,inf,inf,140.0,3,140.0,1,46.666666666666664,inf,inf,inf,0.0,3,0.0,0,0.0,,inf,,1.0,3,1.0,1,0.3333333333333333,inf,inf,inf,3.0,3,2.0,2,1.0,inf,inf,inf,139.0,3,118.0,2,46.333333333333336,inf,inf,inf,139.0,3,118.0,2,46.333333333333336,inf,inf,inf,0.0,0,,0,,,,,1,11,1,1,0.09090909090909091,inf,inf,inf,0.0,3,0.0,0,0.0,,inf,,12.0,3,9.0,3,4.0,inf,inf,inf,0.0,False,False,False,chat_media,0,0,0,0,0,0,0,3,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4723400000000000.0,2,21,1,2,0.09523809523809523,2.0,21.0,2.0,25.0,5,8.0,5,5.0,25.0,5.0,5.0,21,21,4,15,1.0,21.0,21.0,15.0,1069.0,5,1069.0,1,213.8,1069.0,5.0,1.0,2.0,5,1.0,2,0.4,2.0,5.0,2.0,0.0,5,0.0,0,0.0,0.0,5.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,21,1,1,0.047619047619047616,1.0,21.0,1.0,0.0,5,0.0,0,0.0,0.0,5.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,5,0,0,0,6,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.25142e+16,6,33,1,6,0.18181818181818182,6.0,33.0,6.0,36.0,11,7.0,11,3.272727272727273,36.0,11.0,11.0,33,33,5,21,1.0,33.0,33.0,21.0,931.0,11,596.0,3,84.63636363636364,931.0,11.0,3.0,2.0,11,1.0,2,0.18181818181818182,2.0,11.0,2.0,0.0,11,0.0,0,0.0,0.0,11.0,0.0,30.0,22,3.0,22,1.3636363636363635,30.0,22.0,22.0,1858.0,22,549.0,18,84.45454545454545,1858.0,22.0,18.0,1679.0,22,549.0,18,76.31818181818181,1679.0,22.0,18.0,0.0,22,0.0,0,0.0,0.0,22.0,0.0,1,33,1,1,0.030303030303030304,1.0,33.0,1.0,0.0,11,0.0,0,0.0,0.0,11.0,0.0,42.0,22,5.0,20,1.9090909090909092,42.0,22.0,20.0,0.0,False,False,False,direct,0,0,0,0,0,0,0,22,0,1,12,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.45504e+16,4,15,1,4,0.26666666666666666,4.0,15.0,4.0,15.0,4,6.0,4,3.75,15.0,4.0,4.0,14,15,2,12,0.9333333333333333,14.0,15.0,12.0,135.0,4,135.0,1,33.75,135.0,4.0,1.0,1.0,4,1.0,1,0.25,1.0,4.0,1.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,10.0,8,2.0,8,1.25,10.0,8.0,8.0,270.0,8,81.0,4,33.75,270.0,8.0,4.0,216.0,8,81.0,4,27.0,216.0,8.0,4.0,0.0,8,0.0,0,0.0,0.0,8.0,0.0,1,15,1,1,0.06666666666666667,1.0,15.0,1.0,100.0,4,100.0,1,25.0,100.0,4.0,1.0,20.0,8,4.0,8,2.5,20.0,8.0,8.0,0.0,False,False,False,direct,0,0,0,0,0,0,0,8,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.82606e+16,5,1626,1,5,0.003075030750307503,inf,inf,inf,25500.0,622,57.0,622,40.9967845659164,inf,inf,inf,764,1626,6,567,0.4698646986469865,inf,inf,inf,5666.0,622,2234.0,4,9.109324758842444,inf,inf,inf,4.0,622,1.0,4,0.006430868167202572,inf,inf,inf,0.0,622,0.0,0,0.0,,inf,,0.0,0,,0,,,,,0.0,0,,0,,,,,0.0,0,,0,,,,,0.0,0,,0,,,,,0,1626,0,0,0.0,,inf,,0.0,622,0.0,0,0.0,,inf,,0.0,0,,0,,,,,11520.0,False,False,False,google,0,0,0,0,0,622,0,0,0,186,776,0,494,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.14768e+16,2,22,1,2,0.09090909090909091,2.0,22.0,2.0,23.0,4,9.0,4,5.75,23.0,4.0,4.0,36,22,5,18,1.6363636363636365,36.0,22.0,18.0,167.0,4,167.0,1,41.75,167.0,4.0,1.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,6.0,8,1.0,6,0.75,6.0,8.0,6.0,334.0,8,120.0,4,41.75,334.0,8.0,4.0,334.0,8,120.0,4,41.75,334.0,8.0,4.0,0.0,8,0.0,0,0.0,0.0,8.0,0.0,1,22,1,1,0.045454545454545456,1.0,22.0,1.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,40.0,8,8.0,6,5.0,40.0,8.0,6.0,0.0,False,False,False,chat_media,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0
2.53354e+16,2,128,1,2,0.015625,2.0,128.0,2.0,732.0,70,15.0,70,10.457142857142857,732.0,70.0,70.0,70,128,2,54,0.546875,70.0,128.0,54.0,1148.0,70,1148.0,1,16.4,1148.0,70.0,1.0,1.0,70,1.0,1,0.014285714285714285,1.0,70.0,1.0,0.0,70,0.0,0,0.0,0.0,70.0,0.0,279.0,89,5.0,89,3.134831460674157,279.0,89.0,89.0,5164.0,89,142.0,87,58.02247191011236,5164.0,89.0,87.0,2306.93333342,89,126.0,87,25.92059925191011,2306.93333342,89.0,87.0,0.0,89,0.0,0,0.0,0.0,89.0,0.0,1,128,1,1,0.0078125,1.0,128.0,1.0,0.0,70,0.0,0,0.0,0.0,70.0,0.0,552.0,89,10.0,87,6.202247191011236,552.0,89.0,87.0,0.0,False,False,False,google,0,0,0,0,0,70,0,89,0,24,74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.84813e+16,8,66,1,8,0.12121212121212122,8.0,66.0,8.0,67.0,17,9.0,17,3.9411764705882355,67.0,17.0,17.0,91,66,6,52,1.378787878787879,91.0,66.0,52.0,1114.0,17,742.0,3,65.52941176470588,1114.0,17.0,3.0,5.0,17,1.0,5,0.29411764705882354,5.0,17.0,5.0,0.0,17,0.0,0,0.0,0.0,17.0,0.0,35.0,31,3.0,29,1.1290322580645162,35.0,31.0,29.0,2278.0,31,471.0,22,73.48387096774194,2278.0,31.0,22.0,1772.0,31,235.5,22,57.16129032258065,1772.0,31.0,22.0,0.0,31,0.0,0,0.0,0.0,31.0,0.0,2,66,1,2,0.030303030303030304,2.0,66.0,2.0,0.0,17,0.0,0,0.0,0.0,17.0,0.0,88.0,31,7.0,29,2.838709677419355,88.0,31.0,29.0,0.0,False,False,False,chat_media,0,0,0,0,0,0,0,31,0,11,15,0,0,0,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0
4.46257e+16,1,28,1,1,0.03571428571428571,1.0,28.0,1.0,21.0,4,12.0,4,5.25,21.0,4.0,4.0,30,28,5,23,1.0714285714285714,30.0,28.0,23.0,361.0,4,361.0,1,90.25,361.0,4.0,1.0,1.0,4,1.0,1,0.25,1.0,4.0,1.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,28,1,1,0.03571428571428571,1.0,28.0,1.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,4,0,0,0,6,11,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
