lead_id,sessions-sum-lead_id,sessions-count_not_na-lead_id,sessions-max-lead_id,sessions-count_nonzero-lead_id,sessions-mean-lead_id,sessions-sum_per_lead-lead_id,sessions-count_not_na_per_lead-lead_id,sessions-count_nonzero_per_lead-lead_id,hits-sum-lead_id,hits-count_not_na-lead_id,hits-max-lead_id,hits-count_nonzero-lead_id,hits-mean-lead_id,hits-sum_per_lead-lead_id,hits-count_not_na_per_lead-lead_id,hits-count_nonzero_per_lead-lead_id,unique_events-sum-lead_id,unique_events-count_not_na-lead_id,unique_events-max-lead_id,unique_events-count_nonzero-lead_id,unique_events-mean-lead_id,unique_events-sum_per_lead-lead_id,unique_events-count_not_na_per_lead-lead_id,unique_events-count_nonzero_per_lead-lead_id,session_duration-sum-lead_id,session_duration-count_not_na-lead_id,session_duration-max-lead_id,session_duration-count_nonzero-lead_id,session_duration-mean-lead_id,session_duration-sum_per_lead-lead_id,session_duration-count_not_na_per_lead-lead_id,session_duration-count_nonzero_per_lead-lead_id,page_per_session-sum-lead_id,page_per_session-count_not_na-lead_id,page_per_session-max-lead_id,page_per_session-count_nonzero-lead_id,page_per_session-mean-lead_id,page_per_session-sum_per_lead-lead_id,page_per_session-count_not_na_per_lead-lead_id,page_per_session-count_nonzero_per_lead-lead_id,enquiries-sum-lead_id,enquiries-count_not_na-lead_id,enquiries-max-lead_id,enquiries-count_nonzero-lead_id,enquiries-mean-lead_id,enquiries-sum_per_lead-lead_id,enquiries-count_not_na_per_lead-lead_id,enquiries-count_nonzero_per_lead-lead_id,pageviews-sum-lead_id,pageviews-count_not_na-lead_id,pageviews-max-lead_id,pageviews-count_nonzero-lead_id,pageviews-mean-lead_id,pageviews-sum_per_lead-lead_id,pageviews-count_not_na_per_lead-lead_id,pageviews-count_nonzero_per_lead-lead_id,time_on_page-sum-lead_id,time_on_page-count_not_na-lead_id,time_on_page-max-lead_id,time_on_page-count_nonzero-lead_id,time_on_page-mean-lead_id,time_on_page-sum_per_lead-lead_id,time_on_page-count_not_na_per_lead-lead_id,time_on_page-count_nonzero_per_lead-lead_id,avg_time_on_page-sum-lead_id,avg_time_on_page-count_not_na-lead_id,avg_time_on_page-max-lead_id,avg_time_on_page-count_nonzero-lead_id,avg_time_on_page-mean-lead_id,avg_time_on_page-sum_per_lead-lead_id,avg_time_on_page-count_not_na_per_lead-lead_id,avg_time_on_page-count_nonzero_per_lead-lead_id,property_search-sum-lead_id,property_search-count_not_na-lead_id,property_search-max-lead_id,property_search-count_nonzero-lead_id,property_search-mean-lead_id,property_search-sum_per_lead-lead_id,property_search-count_not_na_per_lead-lead_id,property_search-count_nonzero_per_lead-lead_id,lead_dropped-sum-lead_id,lead_dropped-count_not_na-lead_id,lead_dropped-max-lead_id,lead_dropped-count_nonzero-lead_id,lead_dropped-mean-lead_id,lead_dropped-sum_per_lead-lead_id,lead_dropped-count_not_na_per_lead-lead_id,lead_dropped-count_nonzero_per_lead-lead_id,bounce_rate-sum-lead_id,bounce_rate-count_not_na-lead_id,bounce_rate-max-lead_id,bounce_rate-count_nonzero-lead_id,bounce_rate-mean-lead_id,bounce_rate-sum_per_lead-lead_id,bounce_rate-count_not_na_per_lead-lead_id,bounce_rate-count_nonzero_per_lead-lead_id,total_events-sum-lead_id,total_events-count_not_na-lead_id,total_events-max-lead_id,total_events-count_nonzero-lead_id,total_events-mean-lead_id,total_events-sum_per_lead-lead_id,total_events-count_not_na_per_lead-lead_id,total_events-count_nonzero_per_lead-lead_id,timestamp-gap-lead_id,social_source_referral-value-lead_id,contact_us_click-value-lead_id,app_downloads-value-lead_id,source-mode-lead_id,source-search-count-lead_id,source-leasing_website-count-lead_id,source-chat_media-count-lead_id,source-client-count-lead_id,source-direct-count-lead_id,source-google-count-lead_id,source-email-count-lead_id,device_category-count_mobile-lead_id,device_category-count_tablet-lead_id,event_category-count_Property View-lead_id,event_category-count_Client ID-lead_id,event_category-count_Property Search-lead_id,event_category-count_Scroll Depth-lead_id,event_category-count_Property Search Field-lead_id,event_category-count_Image View-lead_id,event_category-count_Property Form Field-lead_id,event_category-count_Property Lead Form-lead_id,event_category-count_Inventory Residential Lead-lead_id,event_category-count_App Download-lead_id,event_category-count_Property Residential Lead-lead_id,event_category-count_addthis-lead_id,event_category-count_Contact Us-lead_id,event_category-count_Promo-lead_id,event_category-count_Property Commercial Lead-lead_id,event_category-count_Inventory Commercial Lead-lead_id,event_category-count_Property Freehold Lead-lead_id,event_category-count_Happiness Survey Form-lead_id,event_category-count_Outbound links-lead_id,event_category-count_Download Form-lead_id
0.0,18259,283456,4,18151,0.06441564122826823,inf,inf,inf,563267.0,82248,358.0,82248,6.848397529423208,inf,inf,inf,276262,283456,74,178669,0.9746203996387446,inf,inf,inf,6215519.0,82248,32289.0,9583,75.57045764030737,inf,inf,inf,7952.0,82248,1.0,7952,0.0966832020231495,inf,inf,inf,884.0,82248,1.0,884,0.010747981713841066,inf,inf,inf,63686.0,39741,12.0,37325,1.6025263581691451,inf,inf,inf,3711674.0,39741,2897.0,32630,93.39659293928185,inf,inf,inf,2693544.538889027,39741,1881.0,31259,67.77747260735832,inf,inf,inf,477.0,37538,1.0,477,0.012707123448239118,inf,inf,inf,285,283456,1,285,0.0010054470535109505,inf,inf,inf,104250.0,82248,100.0,1043,1.2675080245112342,inf,inf,inf,173295.0,39741,37.0,38914,4.360609949422511,inf,inf,inf,378721.0,True,True,True,google,0,0,0,0,0,53299,0,39106,632,50509,104453,11622,35351,7589,487,10045,285,0,215,527,25,28,42,10,55,7,1,9,1
93952.0,0,2,0,0,0.0,0.0,2.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,2,1,2,1.0,2.0,2.0,2.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,2,1,1,0.5,1.0,2.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
283257.0,0,8,0,0,0.0,0.0,8.0,0.0,20.0,4,5.0,4,5.0,20.0,4.0,4.0,4,8,1,4,0.5,4.0,8.0,4.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,4,8,1,4,0.5,4.0,8.0,4.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
283493.0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
283495.0,0,2,0,0,0.0,0.0,2.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,2,1,2,1.0,2.0,2.0,2.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,2,1,1,0.5,1.0,2.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
283496.0,0,2,0,0,0.0,0.0,2.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,2,1,2,1.0,2.0,2.0,2.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,2,1,1,0.5,1.0,2.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
283499.0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
283502.0,0,2,0,0,0.0,0.0,2.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,2,1,2,1.0,2.0,2.0,2.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,2,1,1,0.5,1.0,2.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
283503.0,0,2,0,0,0.0,0.0,2.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,2,1,2,1.0,2.0,2.0,2.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,2,1,1,0.5,1.0,2.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
283504.0,0,2,0,0,0.0,0.0,2.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,2,1,2,1.0,2.0,2.0,2.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,2,1,1,0.5,1.0,2.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,,False,False,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
