lead_id,converted_to_tenant
345291,0
309542,0
305907,0
306144,1
309120,1
310816,0
311236,1
310980,1
306933,0
307487,0
327074,1
318211,1
307239,1
312183,1
308335,1
310939,1
309600,1
307912,1
306470,1
310913,0
309150,0
306047,1
308755,0
306207,0
306147,0
354606,1
354610,1
310059,0
321694,1
313195,1
309352,1
306323,1
306269,1
308758,1
309402,1
346586,0
308972,0
311331,1
304675,1
306027,1
306073,1
329175,1
306545,1
345518,1
341726,1
306303,1
306960,1
308794,1
353107,1
307002,1
307003,1
346494,1
308847,1
306440,1
308439,0
306906,1
310710,1
311181,1
309176,1
309529,1
308872,1
306179,1
306180,1
340291,1
306354,1
351550,1
330305,1
306077,1
308740,1
297529,1
311019,1
289501,1
302616,1
305918,1
307323,1
306677,1
306703,1
306774,1
306669,1
306695,1
306766,1
306674,1
306700,1
306771,1
309672,1
308502,1
307469,0
309155,1
308828,1
308826,1
307890,1
311308,1
342504,1
306038,1
307866,1
306176,1
309411,1
307724,1
299381,1
308507,1
310765,1
311271,1
306831,1
306741,1
307687,1
308495,1
308500,1
305878,0
306394,0
351704,1
301598,1
301213,1
302171,1
301041,1
341684,1
309371,0
308362,1
307306,1
306120,1
302842,1
306886,1
299636,1
311008,1
305988,1
298970,0
310356,1
306306,1
309954,1
316211,1
307555,1
307557,1
307183,1
306095,1
307838,1
307805,1
307978,1
301320,1
310322,1
310458,1
306240,1
307526,1
315041,1
302027,1
345083,1
305577,0
308490,1
299382,1
301247,1
309227,1
303860,1
306123,1
316948,1
306530,0
307112,1
308795,0
308327,1
300726,0
311591,0
290992,1
310008,0
310496,1
310704,1
304173,1
308114,1
316956,1
303477,1
303962,1
306434,1
309783,1
330346,1
308533,0
316705,0
309948,1
306884,0
306885,0
306072,1
310971,1
297922,1
312024,1
312010,1
310797,1
310934,1
307088,1
311072,1
353526,0
309703,1
306657,1
306683,1
309460,1
306744,1
306611,1
309551,1
307882,1
307914,1
301164,1
311205,1
307802,1
308603,1
306097,1
301128,0
297536,1
289917,1
289920,1
300500,1
310779,0
305088,1
308594,1
308595,1
306993,1
306042,1
309929,1
301103,1
301048,1
301766,1
302160,1
301027,1
342073,1
302155,1
304652,1
311032,1
295980,1
308052,1
311071,1
290804,1
298947,0
306362,1
309481,1
307977,0
309927,0
308514,1
306030,1
305959,1
305960,1
305919,1
305958,1
299956,0
314811,1
299410,1
306546,0
244903,1
311249,1
307376,1
309209,1
328374,1
323771,1
308267,0
307796,1
310230,0
309156,1
244541,1
311189,1
307292,1
314663,1
300166,0
311123,0
310707,1
302502,1
314490,1
306856,1
304238,1
304239,1
310168,1
301974,0
309926,0
310963,1
310455,1
303013,1
310076,1
299975,1
340637,1
312037,1
307588,1
307589,1
307552,0
302971,1
302959,1
308033,1
313715,0
307514,0
306858,1
306324,1
309100,1
299005,0
310927,0
307132,1
307133,1
307518,1
327231,1
309265,1
301928,0
310510,0
310199,1
306557,0
310841,1
306063,1
309700,1
300273,1
309010,1
306161,1
306160,1
306150,1
306398,1
311904,0
308724,1
299629,1
297924,1
310366,1
306375,1
300261,1
290487,1
302091,1
340599,1
310232,1
310553,0
305976,1
299221,1
307992,1
307993,1
345623,1
345809,1
310563,1
308687,1
299539,1
290310,1
310676,1
308299,1
307693,1
309498,1
308801,1
308341,1
309794,0
310677,0
308721,0
309722,0
306977,0
303017,0
302952,0
302941,0
302942,0
302158,0
303010,0
314348,0
299736,0
314376,0
314549,0
301076,0
313809,0
310164,0
310702,0
306574,1
303437,0
307702,0
309252,0
310931,0
299010,0
310930,0
299009,0
310932,0
299011,0
307129,1
302266,1
307262,0
310291,1
304866,0
302694,1
300125,0
310940,1
307256,1
306197,1
309004,0
309579,0
306565,1
306852,0
300362,1
309109,0
307592,0
309870,0
311013,0
310434,0
308051,0
305031,0
307703,0
309495,0
309434,0
307927,0
308271,0
307669,0
307671,0
310837,0
306380,0
306378,0
308729,0
309390,0
310251,0
308892,1
309330,0
305638,0
306255,0
310923,0
332697,0
307016,0
310249,0
307311,0
309717,0
298914,0
319249,0
306216,0
318568,0
307266,0
307143,0
301364,0
303250,0
307975,0
306023,1
309417,0
299550,0
310471,0
308207,0
298919,0
308452,0
306666,1
306692,1
306763,1
